date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:10:43	276246/276246	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224c0043b-43716-5661f167b8f2f%22	http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/fonts/poppins/hinted-Poppins-Light.eot	E:/webs/http___kalanidhithemes.com_live-preview_landing-page_smart-app-landing-page_all-demo_default-version-purple-blue-gredient_index.html/web/eot/hinted-poppins-light.eot	(from http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/css/google-fonts.css)
08:10:44	121732/121732	---M--	200	added ('OK')	font/woff	etag:%224c0043e-1db84-5661f16a0ed8f%22	http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/fonts/poppins/hinted-Poppins-Light.woff	E:/webs/http___kalanidhithemes.com_live-preview_landing-page_smart-app-landing-page_all-demo_default-version-purple-blue-gredient_index.html/web/woff/hinted-poppins-light.woff	(from http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/css/google-fonts.css)
08:10:48	399598/399598	---M--	200	added ('OK')	image/svg+xml	etag:%224c0043c-618ee-5661f16856e85%22	http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/fonts/poppins/hinted-Poppins-Light.svg	E:/webs/http___kalanidhithemes.com_live-preview_landing-page_smart-app-landing-page_all-demo_default-version-purple-blue-gredient_index.html/web/svg/hinted-poppins-light.svg	(from http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/css/google-fonts.css)
08:10:51	335668/335668	---M--	200	added ('OK')	font/ttf	etag:%224c0044c-51f34-5661f17b9b057%22	http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/fonts/poppins/hinted-Poppins-SemiBold.ttf	E:/webs/http___kalanidhithemes.com_live-preview_landing-page_smart-app-landing-page_all-demo_default-version-purple-blue-gredient_index.html/web/ttf/hinted-poppins-semibold.ttf	(from http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/css/google-fonts.css)
08:10:59	276246/276246	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224c0043b-43716-5661f167b8f2f%22	http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/fonts/poppins/hinted-Poppins-Light.eot?	E:/webs/http___kalanidhithemes.com_live-preview_landing-page_smart-app-landing-page_all-demo_default-version-purple-blue-gredient_index.html/web/eot/hinted-poppins-lightd41d.eot	(from http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/css/google-fonts.css)
08:11:05	275928/275928	---M--	200	added ('OK')	font/ttf	etag:%224c0043d-435d8-5661f16a5816e%22	http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/fonts/poppins/hinted-Poppins-Light.ttf	E:/webs/http___kalanidhithemes.com_live-preview_landing-page_smart-app-landing-page_all-demo_default-version-purple-blue-gredient_index.html/web/ttf/hinted-poppins-light.ttf	(from http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/css/google-fonts.css)
08:11:05	0/-1	---M--	500	error ('')			http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/fonts/glyphicons-halflings-regular.eot	E:/webs/http___kalanidhithemes.com_live-preview_landing-page_smart-app-landing-page_all-demo_default-version-purple-blue-gredient_index.html/web/glyphicons-halflings-regular.html	(from http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/css/bootstrap.min.css)
08:11:05	0/-1	---M--	500	error ('')			http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/fonts/glyphicons-halflings-regular.eot?	E:/webs/http___kalanidhithemes.com_live-preview_landing-page_smart-app-landing-page_all-demo_default-version-purple-blue-gredient_index.html/web/glyphicons-halflings-regulard41d.html	(from http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/css/bootstrap.min.css)
08:11:05	0/-1	---M--	500	error ('')			http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/fonts/glyphicons-halflings-regular.woff2	E:/webs/http___kalanidhithemes.com_live-preview_landing-page_smart-app-landing-page_all-demo_default-version-purple-blue-gredient_index.html/web/glyphicons-halflings-regular-2.html	(from http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/css/bootstrap.min.css)
08:11:05	0/-1	---M--	500	error ('')			http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/fonts/glyphicons-halflings-regular.woff	E:/webs/http___kalanidhithemes.com_live-preview_landing-page_smart-app-landing-page_all-demo_default-version-purple-blue-gredient_index.html/web/glyphicons-halflings-regular-3.html	(from http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/css/bootstrap.min.css)
08:11:05	0/-1	---M--	500	error ('')			http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/fonts/glyphicons-halflings-regular.ttf	E:/webs/http___kalanidhithemes.com_live-preview_landing-page_smart-app-landing-page_all-demo_default-version-purple-blue-gredient_index.html/web/glyphicons-halflings-regular-4.html	(from http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/css/bootstrap.min.css)
08:11:05	0/-1	---M--	500	error ('')			http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/fonts/glyphicons-halflings-regular.svg	E:/webs/http___kalanidhithemes.com_live-preview_landing-page_smart-app-landing-page_all-demo_default-version-purple-blue-gredient_index.html/web/glyphicons-halflings-regular-5.html	(from http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/css/bootstrap.min.css)
08:11:05	0/-1	---M--	500	error ('')			http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/fonts/glyphicons-halflings-regular.eot	E:/webs/http___kalanidhithemes.com_live-preview_landing-page_smart-app-landing-page_all-demo_default-version-purple-blue-gredient_index.html/web/glyphicons-halflings-regular.html	(from http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/css/bootstrap.min.css)
08:11:05	0/-1	---M--	500	error ('')			http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/fonts/glyphicons-halflings-regular.eot?	E:/webs/http___kalanidhithemes.com_live-preview_landing-page_smart-app-landing-page_all-demo_default-version-purple-blue-gredient_index.html/web/glyphicons-halflings-regulard41d.html	(from http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/css/bootstrap.min.css)
08:11:05	0/-1	---M--	500	error ('')			http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/fonts/glyphicons-halflings-regular.woff2	E:/webs/http___kalanidhithemes.com_live-preview_landing-page_smart-app-landing-page_all-demo_default-version-purple-blue-gredient_index.html/web/glyphicons-halflings-regular-2.html	(from http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/css/bootstrap.min.css)
08:11:05	0/-1	---M--	500	error ('')			http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/fonts/glyphicons-halflings-regular.woff	E:/webs/http___kalanidhithemes.com_live-preview_landing-page_smart-app-landing-page_all-demo_default-version-purple-blue-gredient_index.html/web/glyphicons-halflings-regular-3.html	(from http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/css/bootstrap.min.css)
08:11:05	0/-1	---M--	500	error ('')			http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/fonts/glyphicons-halflings-regular.ttf	E:/webs/http___kalanidhithemes.com_live-preview_landing-page_smart-app-landing-page_all-demo_default-version-purple-blue-gredient_index.html/web/glyphicons-halflings-regular-4.html	(from http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/css/bootstrap.min.css)
08:11:05	0/-1	---M--	500	error ('')			http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/fonts/glyphicons-halflings-regular.svg	E:/webs/http___kalanidhithemes.com_live-preview_landing-page_smart-app-landing-page_all-demo_default-version-purple-blue-gredient_index.html/web/glyphicons-halflings-regular-5.html	(from http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/css/bootstrap.min.css)
